Store,Dry.Grocery..,Dairy..,Frozen.Food,Meat..,Produce..,Floral..,Deli..,Bakery..,General.Merchandise..,Cluster
S0016,0.477239619743207,9.14353402378918e-02,7.80635774118771e-02,0.110087162711957,8.84690342907745e-02,6.25166618426263e-03,4.60523709288869e-02,2.87200400890398e-02,7.36811884021022e-02,3
S0017,0.438116993273505,0.100133160689425,7.87773101710674e-02,9.76993045896474e-02,0.133662869881643,1.33899763487328e-02,4.08569571217437e-02,2.82389209953048e-02,6.91245069289307e-02,2
S0018,0.452848213075287,9.88272389158992e-02,7.90166214707331e-02,0.106061652512203,0.109021685092392,9.31750366199865e-03,4.30237420262295e-02,3.49657931584202e-02,6.69175500868332e-02,3
S0019,0.482712613087086,9.74662858851897e-02,7.78811602630266e-02,0.111624447453435,9.47995388573607e-02,5.75530073708121e-03,3.24576706679242e-02,1.95928193976559e-02,7.77101636512381e-02,1
S0020,0.458778303182512,0.107141868797983,7.78717048351564e-02,0.108469030798015,0.109103941304215,8.39495529133403e-03,3.81525787650226e-02,2.94363327225544e-02,6.2651284303209e-02,3
S0021,0.432833234600513,0.122189831779614,8.64529274413007e-02,8.6197893616519e-02,0.148002996284327,8.9507399784538e-03,3.65788347834195e-02,2.81656625761713e-02,5.06278789396813e-02,2
S0022,0.470503431463498,9.66283640903132e-02,7.59484373723226e-02,0.106098599676139,9.21528434376762e-02,8.66128333172005e-03,4.31421403035068e-02,3.40527371649703e-02,7.28121631598525e-02,3
S0023,0.436646714709335,0.108651507935284,8.43224203049988e-02,0.109597892121959,0.107050713054769,9.48391071238627e-03,3.83357064506782e-02,3.61889929494987e-02,6.97221417610903e-02,2
S0024,0.455110408758624,0.104005289264274,8.21412576727629e-02,0.104835874980517,0.110498111280515,5.39150823863409e-03,4.11309197782855e-02,2.29546853905356e-02,7.39319446358521e-02,3
S0025,0.462041738907353,0.10467268443724,7.96288290882616e-02,0.104944114597717,0.111705642679959,5.30403059458314e-03,4.22825777274656e-02,3.07064714029296e-02,5.87139105644905e-02,3
S0026,0.457669123656383,0.105388489730619,7.84236654079942e-02,9.98834930322337e-02,0.113664812640095,8.33377302946743e-03,3.76578896626549e-02,3.05639652456416e-02,6.84147875949107e-02,2
S0027,0.446684730684161,0.104030116792427,7.76425647194134e-02,9.93901874802968e-02,0.132244501734567,1.62544345995726e-02,2.97228332082429e-02,2.33704608152321e-02,7.06601699660872e-02,2
